Código,Name,Faccao,Complexo,Pouco Expressivo
555,Bairro Barro Vermelho,,,
556,Parque Chico Mendes,Milicia,Canal das Tachas,
557,Comunidade Agrícola de Higienópolis,,,
558,Comunidade dos Marianos,Milicia,Morro do 18,
560,Estrada do Sertão,Milicia,Rio das Pedras,
561,Travessa Maria José,,,
562,Engenheiro Alfredo Gonçalves,Milicia,Morro do 18,
563,Quintanilha,,,
564,Rua São Jorge,,,
577,Parque da Pedra Branca,,,
578,Pantanal (RA - Rio Comprido),Policia,Turano,
579,A.M. e Amigos do Vale,CV,Rio Comprido,
580,Rua Armando Sodré,,,
581,A.M. da Ilha de Guaratiba,,,
582,A.M. da Matriz,,,
583,Comunidade de São Miguel Arcanjo,CV,Faz Quem Quer,
584,A. M. Pro-Melhoramento Olavo Gama e Adjacências,,,
585,A.M. Morada do Magarça,,,
586,Condomínio Vila Darcy Vargas,,,
587,A.M. e Amigos de Rio das Pedras,Milicia,Rio das Pedras,
589,Morro da Reunião,,,
590,A.M. do Vale do Curicica,Milicia,Curicica,
591,Parque Dois Irmãos,Milicia,Curicica,
592,Entre Rios,Milicia,Curicica,
594,Morro da Boa Esperança,Milicia,Campinho,
595,Ladeira da Reunião,,,
596,Travessa Efraim,CV,Cidade de Deus,
597,Vila Nova Esperança,Milicia,Gardenia Azul,
598,Parque das Palmeiras,,,
600,Comunidade Sobral,,,
601,Parque Nossa Senhora de Fátima,,,
602,Verde é Vida,TCP,Sapo,
603,Jardim Clarice,TCP,Coreia,
604,Conjunto Minas de Prata,,,
605,Parque Resplendor,,,
607,Jardim Nossa Senhora das Graças II,,,
611,Beco do Coqueiral,,,
612,Gaspar de Lemos,,,
613,Comunidade Jardim Paulista,,,
614,Centro Social União de Costa Barros,,,
615,A.M. do Morro do Vigário,,,
616,Ilha da Gigóia,,,
617,Morro do Gari,,,
618,Parque Criança Esperança,,,
619,Planalto,,,
620,Parque Esperança (RA - Anchieta),,,
621,Parque Tiradentes,,,
622,Associação Comunitária Vila Alvorada,,,
623,Oito de Dezembro,,,
624,Vila Elza,CV,Rio Comprido,
625,A.M. e Amigos de Santa Tereza,,,
626,Vila Paraíso,,,
628,Vila Santa Terezinha,Milicia,Tijuquinha,
629,Comunidade de Clara Nunes,ADA,Sao Carlos,
630,Comunidade Aramari,,,
633,São Jerônimo,,,
634,Areal,,,
635,Quatorze de Julho,,,
639,Novo Camarão,,,
640,Novo Tinguí,,,
641,Luis Fernando Victor Filho,,,
642,Bairro Agulhas Negras,,,
643,Chico Mendes (Morro do Chapadão),CV,Chapadao,
644,Bela Vista do Mato Alto,,,
645,Beirada do Rio,CV,Cidade de Deus,
646,Estrada do Pontal (Caité),Milicia,Canal das Tachas,
647,Cascatinha,,,
648,Grota Funda,,,
649,Vila Doutor Crespo,,,
650,Antiga Creche,Milicia,Curicica,
651,Caricó,CV,Barbante,
653,Águia Dourada,CV,Barbante,
654,"Travessa Estrada Grande, nº 1.397",CV,Barbante,
655,Vila Nova Canaã,CV,Barbante,
657,"Rua Urucuia, nº 570",,,
658,São Gonçalo do Amarante,,,
659,Morro do Camorim,,,
660,Rua Professor Burlamáqui,TCP,Serrinha,
661,Curicica II,Milicia,Curicica,
